concurrency,queries,wall_s,total_output_tokens,throughput_tokens_per_s,avg_query_tokens_per_s,median_query_tokens_per_s,p90_query_tokens_per_s,avg_ttft_s,median_ttft_s,p90_ttft_s,avg_decode_tokens_per_s,median_decode_tokens_per_s,p90_decode_tokens_per_s
1,128,720.294978,65536,90.984946,95.477554,87.447891,143.158679,0.210108,0.240684,0.254187,98.830900,91.046785,147.004935
2,128,528.670075,65536,123.963892,62.019508,61.730428,64.110252,0.404794,0.423321,0.442127,65.082866,64.858478,66.934569
4,128,422.569661,65536,155.089222,38.846328,38.640859,41.278672,0.677163,0.703938,0.754720,40.866171,40.738268,43.430966
8,128,373.490954,65536,175.468775,21.940239,21.877944,22.722725,1.311799,1.358065,1.415448,23.199943,23.158128,23.896562
16,128,260.630162,65536,251.452094,15.717207,15.729144,15.884159,2.500220,2.637985,2.647094,16.992849,17.061893,17.268063
32,128,157.674191,65536,415.641897,12.996330,12.953175,13.440938,4.979193,5.093633,5.401437,14.841101,14.838205,15.134234
64,128,139.381915,65536,470.190126,7.347275,7.347275,7.409261,10.362263,10.362263,11.033028,8.613093,8.613093,8.625116
128,128,132.576249,65536,494.326852,3.861929,3.861929,3.861929,22.710309,22.710309,22.710309,4.651123,4.651123,4.651123
