concurrency,queries,wall_s,total_output_tokens,throughput_tokens_per_s,avg_query_tokens_per_s,median_query_tokens_per_s,p90_query_tokens_per_s,avg_ttft_s,median_ttft_s,p90_ttft_s,avg_decode_tokens_per_s,median_decode_tokens_per_s,p90_decode_tokens_per_s
1,128,320.802923,65536,204.287415,208.601455,215.971541,233.225834,0.044983,0.038015,0.054608,212.052866,219.428611,236.804569
2,128,244.180494,65536,268.391627,134.423643,135.081692,140.545363,0.098709,0.097151,0.109002,137.730724,138.370659,143.894238
4,128,161.244619,65536,406.438368,101.666420,101.589979,104.911441,0.195739,0.201202,0.207476,105.564551,105.426537,108.768581
8,128,133.746409,65536,490.001940,61.254914,61.226940,61.951008,0.344971,0.352287,0.359844,63.766126,63.814420,64.332843
16,128,74.048524,65536,885.041276,55.317648,55.259424,55.685035,0.621053,0.631618,0.671761,59.179955,59.164532,59.619182
32,128,41.094446,65536,1594.765371,49.838672,49.827011,50.072025,1.181287,1.187370,1.227254,56.203491,56.178267,56.342109
64,128,34.706723,65536,1888.279681,29.507201,29.507201,29.756552,2.476200,2.476200,2.564533,34.349461,34.349461,34.484091
128,128,32.574953,65536,2011.852506,15.717598,15.717598,15.717598,5.518846,5.518846,5.518846,18.886679,18.886679,18.886679
